,평균,표준편차
사회적바람직성,23.65,3.99
직접적 보상처벌,17.06,4.33
사회적 관계,16.76,4.84
자기성취,21.11,4.43
목표세우기,22.39,3.78
계획하기,18.05,4.7
실천하기,15.81,4.53
돌아보기,17.06,3.57
이해하기,19.48,3.9
사고하기,18.3,3.41
정리하기,18.63,3.96
암기하기,18.08,3.46
문제풀기,17.61,3.38
스트레스민감성,12.5,3.18
학습효능감,12,3.7
친구관계,13.5,4.06
가정환경,13,3.07
학교환경,13.5,3.1
수면조절,12,4.16
학습집중력,12,3.23
TV프로그램,10,2.93
컴퓨터,10,2.9
스마트기기,10,2.8
학습전략,73.3,13.47
학습기술,92.1,14.15
