,평균,표준편차
사회적바람직성,24.02,4.42
직접적 보상처벌,17.93,4.64
사회적 관계,16.94,4.48
자기성취,20.56,4.7
목표세우기,21.24,3.98
계획하기,17.93,4.56
실천하기,16.93,4.52
돌아보기,17.46,3.85
이해하기,19.78,3.81
사고하기,18.39,3.62
정리하기,19.02,3.98
암기하기,18.1,3.67
문제풀기,18.4,3.61
스트레스민감성,13,2.9
학습효능감,13,4
친구관계,14,3.73
가정환경,14,3.29
학교환경,14,3.29
수면조절,12,4.5
학습집중력,12,3.71
TV프로그램,10,3.56
컴퓨터,10,3
스마트기기,10,3
학습전략,73.56,13.87
학습기술,93.69,14.91
